0	0	a	Software Requirements Specification for the System Administration of an Integrated Library System 1.1 Purpose and Perspective
1	0	a	This Software Requirements Specification (SRS) describes the functional and nonfunctional requirements for the System Administration Module of an Integrated Library System (ILS).
2	0	a	The System Administration Module facilitates the management of every aspect of the Integrated Library System.
3	0	a	Backing up databases, configuration files, log files, etc.
4	0	a	The current specification presupposes the general functionality of an ILS and specifies only those requirements that directly or indirectly relate to management activities.
5	0	a	King County Library has previously published specifications for Acquisitions and Serials Management, Circulation, and Cataloging modules.
6	0	a	Requirements for OPAC and web services are currently under development.
7	0	a	Moreover, the current specification is focused on functional characteristics of System Administration.
8	0	a	Data structures and user interfaces will require further specification and development using an iterative, prototype-oriented software development methodology. 1.3 Intended Audience
9	0	a	This SRS is intended both for library managers and staff who may contribute additional requirements or commentary, and for software project managers and developers who will implement the requirements.
10	0	a	As such, it aims for a high level of readability for a non-technical audience, while providing enough specificity to be useful to a software developer.
11	0	a	It is assumed that when software development occurs, it will be in a highly collaborative and iterative environment in which end-users have multiple opportunities to review prototypes and refine the user interface and software functionality.
12	0	a	It is also assumed that the reader has a general understanding of Library services and processes and does not require definition of common Library terminology. 1.4 Document Conventions
13	0	a	The SRS includes requirements.
14	0	a	Requirements include a reference to a process flowchart where appropriate.
15	1	a	Specifically, the system must support a library system with 50 locations, 20 million circulations, purchasing and processing over 500,000 items per year.
16	0	a	It is highly desirable that searches and reports can be processed during open hours without disrupting other system functions.
17	1	a	OE-2: System Administration shall operate on a Linux or Solaris server.
18	1	a	OE-3: System Administration shall be accessible through a web-browser or a Windows- compatible client.
19	1	a	OE-4: If web-browser based, System Administration shall be accessible through Microsoft Internet Explorer (v.6.0 and later) and Mozilla Firefox (v.2.0 and later).
20	1	a	CO-2: System Administration Module shall produce standards-compliant HTML. CO-3: System Administration Module shall provide a development and training environment with the ability to migrate configurations to a production environment.
21	1	a	CO-4: User rights and privileges will be controlled through security groups and/or ?roles? that allow access control for individuals, workgroups, and arbitrary staff groups. 1.8 User Documentation
22	1	a	The software developer shall provide a thorough high-level description of major processes, including bibliographic record import and export, validation of bibliographic records against internal and external authority sources, and standard reports.
23	1	a	DE-1: The System Administration Module relies on the data structures and functionality of an enterprise-level Library Automation System, including Acquisitions and Cataloging modules.
24	1	a	DE-2: The System Administration Module interface with a variety of vendor websites, via published APIs and/or automated transfer of standard-format data files (e.g. USMARC21, EDIFACT).
25	1	a	All data tables and data storage are fully accessible. Description: The system provides real-time processing.
26	1	a	Record changes are applied in a reasonable way, with prompts to warn when a record has been changed since it was displayed. Description:
27	1	a	For any patron record or item record, staff can identify where it is in use (location, user, date and time placed).
28	1	a	Name: individual and shared staff login accounts Description:
29	1	a	"Support for individual and shared staff login accounts; access to modules is granted by use of ""roles"" or ""privileges"" that allow each account to access as many (or as few) modules as needed."
30	1	a	Individual logins allow user-level preferences and audit trail. Description: System documentation is library-specific and follows standard formats for technical documentation.
31	1	a	Documentation is specific to the particular version of the software in use at library.
32	1	a	Documentation is web-based, indexed, organized by function, and easily searchable. Description:
33	1	a	System provides full support for SNMP and supports monitoring of system resources, including disk space, CPU load, memory load, system processes, system interfaces and ports. Alert thresholds are configurable.
34	1	a	Alerts can be sent via administrative dashboards, email messages, and text messages.
35	1	a	Alerts can be sent to unlimited number of recipients via any or all alert methods.
36	1	a	Name: record lock administration Description: Ability to set thresholds on the length of time records are locked and provide, for all record types, a list of records in sustained use/locked condition.
37	1	a	Ability from the same console to unlock one or more records. Description:
38	1	a	System provides dashboard of performance monitoring and management tools.
39	1	a	Identification of processes with process ID, owner username, IP address (if applicable), CPU utilization, memory utilization, run time.
40	1	a	Runaway processes are identified.
41	1	a	System status is represented by visual indicators (e.g. green and red lights). Description:
42	1	a	System provides a server management console including: software shutdown utility, software startup utility, server shutdown utility, server restart utility. Name: application dashboard Description:
43	1	a	Indicators can be limited to a single branch or set to systemwide. Description:
