This SRS describes the requirements and speci?cations of Libra, an Economy-Driven Cluster Scheduler.;0
It explains the functional features of the scheduler, along with interface details, design constraints and related considerations such as performance characteristics.;0
The SRS is intended for users and owners of high?perforrnance clusters, cluster management software, job schedulers and grid resources.;0
Scope The Libra Scheduler is intended to work as an add-on to the queuing, scheduling and resource managing module of the open source Sun Grid Engine cluster management system, previously known as Codine.;1
The scheduler will offer market?based economy driven service for managing batch jobs on clusters by scheduling CPU time according to user utility rather than system performance considerations.;1
Hence, the main objective of Libra is to provide Quality of Service (QoS) computational economy in cluster computing.;1
To provide QoS to users, there will be no mechanism for users to interact with each other, and bargain on the use of resources according to their considerations, as is provided in a grid-computing environment by projects like Nimrod/G [1].;1
Definitions, Acronyms and Abbreviations Cluster/Cluster Computing Clustering involves connecting two or more computers together to take advantage of combined computational power and resources.;0
Hence, a cluster works as an integrated collection of resources that can provide a single system image spanning all its nodes.;0
QoS Quality of Service ? meeting what users actually want, thus maximizing their utility.;0
Computational Economy [2] Computational economy refers to the inclusion of user-specified QoS parameters with jobs so that resource management is based on a user-centric approach rather than on a system-centric approach.;0
This essentially means that user constraints such as deadline and budget are more important in determining the priority of a job by the scheduler, than system policies like ordering jobs according to the basis of submission time.;0
Currently, there is no holistic scheduling mechanism in cluster computing to enable differing QoS levels for different clients.;0
Lin ux Linux is an open source operating system, with extensive documentation and user support.;0
Grid computing refers to using a grid for processing jobs and processes.;0
Bid-based Proportional Resource-Sharing Model [4] This is an economic model that specifies one way of allocating (cluster) resources between competing users based on what their criteria is, such as deadline and budget.;0
In this model, the amount of resource allocated to users is proportional to the values of their bids.;0
Essentially, in a bid-based system, the users are allocated tokens or credits, which they can use for having access to resources.;0
The value of each credit depends on the resource demand and cost at the time of usage.;0
We can modify this approach for our cluster, by evaluating this credit/priority according to the deadline and price constraints of users, and considering the system load and resources use as well.;0
This priority is then used by a scheduling policy to allocate resource proportionally to the competing jobs.;0
Stride Scheduling [5] This is a scheduling algorithm to enforce resource allocations proportional to a user?s priority or share.;0
A pool of tickets represents resource rights to a shared resource.;0
A stride is inversely proportional to the number of tickets allocated to a job, hence representing the interval (in terms of CPU time) between two successive scheduling of a job.;0
Jobs with more tickets have shorter strides and hence are scheduled more frequently and obtain a greater fraction of the resource.;0
The algorithm is deterministic and quite accurately schedules jobs in exact proportions based on their ticket allocations.;0
Process Migration It is the process of moving a job from one computer system to another without restarting the job from the beginning.;0
Sequential Jobs These are jobs that must be run on a single node, and cannot be split into separate jobs.;0
10 Embarrassingly Parallel Jobs These are parallel jobs that are comprised of independent parts that can be split up and performed on separate nodes as if they are sequential jobs, with minimal inter-job communication necessary.;0
They run the same operating system.;0
Culler, Market?based proportional resource sharing for clusters.;0
Submitted for publication, September 1999.;0
Overview The rest of the SRS examines the specifications of the Libra Scheduler in detail.;0
Section 2 of the SRS presents the general factors that affect the Libra scheduler and its requirements, such as user characteristics and project constraints.;0
Section 3 outlines the detailed, specific functional, performance, system and other related requirements of the Libra scheduler.;0
Supporting information about appendices is provided in Section 3.;0
Overall Description Product Perspective As mentioned earlier, Libra forms part of a larger system comprising the Sun Grid Engine cluster management system that runs on a LinuX-based cluster.;0
SGE is responsible for receiving the jobs submitted by the user and delegating them to Libra for scheduling and placing on appropriate workstations or execution hosts.;0
Libra communicates its decision regarding workstation allocation to the resource manager, which then dispatches the job to the chosen workstation.;1
Once assignment to a workstation has occurred, Libra is responsible for implementing the scheduling policy on the jobs executing at the workstations.;1
No modifications to the Linux kernel are required.;0
The details of various interfaces have been provided in Section 3.9.;0
Product Functions The main purpose of the Libra scheduler is to maximize user utility.;0
